p5_1,p5_2
10330,145
1996,430
8562,145
5728,145
8043,13
841,120
10341,145
1671,20
9203,13
5576,13
3612,145
827,13
239,67
3277,13
3808,13
3982,13
2342,145
7965,145
2984,120
534,67
6403,145
3077,145
10380,13
8110,13
6941,13
10387,13
10388,145
2213,13
10390,145
1645,430
3023,430
10400,145
10405,13
1212,430
1159,20
917,120
5156,13
319,67
2132,67
1072,67
4381,13
6331,145
8860,145
9672,145
3457,13
7511,13
5560,145
7281,13
1816,67
4618,13
5175,145
6374,145
4173,13
5772,20
1255,13
2667,13
8212,13
2218,145
7241,145
365,67
4209,430
6697,145
8598,13
2257,430
932,120
6288,145
10513,13
9727,145
2843,13
9196,13
10521,145
10524,145
2703,430
6530,430
10533,13
2395,145
3284,430
1898,145
1295,5385
10271,13
10538,145
9089,13
1747,67
7455,13
6085,13
3029,13
10120,13
6523,20
3078,13
415,145
10565,13
10569,145
6619,13
9609,13
3507,145
5029,13
5054,430
10582,13
10589,13
692,120
2910,120
7068,13
3974,120
5673,145
9839,13
5546,13
8416,13
2088,67
9024,145
7488,145
6034,13
2681,120
3309,120
214,741
10614,13
1624,13
7108,13
10625,145
10078,13
3357,67
10450,13
1505,120
10637,13
6788,13
1937,13
8167,13
3810,13
1752,20
10655,145
7331,145
4388,13
9934,13
8731,13
152,67
1484,13
7525,13
1679,67
3428,13
9553,13
760,67
197,120
613,120
3659,120
10699,145
7832,145
10701,13
8617,13
5429,13
10712,13
8086,13
3698,67
2932,67
10731,13
9664,20
3456,430
1513,120
5090,13
10192,13
10747,145
2767,13
7287,13
4417,13
4715,145
1724,145
4584,430
9037,13
290,13
1577,67
763,2937
607,13
10770,145
243,780
63,67
10773,145
5305,145
1728,13
3120,13
7916,13
1627,67
632,120
5053,13
6852,145
10810,145
9575,13
10813,145
10305,13
3258,13
3534,145
4691,13
10251,145
2107,20
1081,120
3971,145
6736,145
9825,145
653,120
6077,13
6045,145
4232,13
4410,145
977,120
3744,13
5552,145
8926,13
9123,13
936,13
4831,145
311,67
6179,13
329,13
1190,1321
2082,145
8303,13
10892,13
10855,145
6297,20
7502,13
8238,13
2176,145
10427,13
132,67
10914,145
3912,120
816,120
10578,13
3369,5385
408,67
4199,13
2152,13
1344,13
7204,13
8359,13
4890,13
7461,145
4272,13
10496,145
523,13
1792,430
6320,13
10838,13
9795,20
38,430
462,505
6739,145
10973,145
300,67
7608,13
10991,13
3728,145
3346,120
1155,13
3866,13
11003,13
3267,20
4035,13
4352,145
8940,13
599,120
5548,13
6206,20
399,11025
7122,13
11032,145
466,67
2009,13
6689,13
5567,13
1814,120
6654,120
5970,145
10950,13
2361,430
1286,67
7005,145
2204,13
492,430
9296,145
1115,67
313,67
2769,20
5997,145
11071,13
6267,145
11075,13
2065,13
11080,20
4016,13
7023,13
1588,67
3494,13
4791,13
237,145
10470,145
9968,13
9326,13
9044,145
7759,13
1405,13
6909,145
8711,13
128,7090
11109,13
2310,13
3629,741
1477,13
3913,145
5026,13
6830,20
499,5385
10977,13
5058,13
1146,67
11129,145
1808,13
7991,430
2733,145
6187,13
2891,13
640,20
6629,20
551,67
776,505
11154,13
5171,13
6535,13
3221,13
7987,145
8463,13
3540,13
2351,67
8247,20
1600,1321
8151,13
11177,13
3928,13
6935,145
340,13
8707,13
11184,145
1605,67
6274,145
11198,145
2700,430
647,13
8614,13
2795,67
5316,13
6905,13
3814,2937
3035,13
3142,145
2343,67
481,13
8666,13
6608,13
4675,13
10464,13
1525,120
5685,20
7050,145
235,13
7369,13
8141,145
2775,120
4044,120
4256,145
5125,145
7603,145
7064,145
6668,13
6418,13
6199,145
8751,13
11255,13
8147,145
9859,145
672,67
8806,13
1328,67
31,120
10258,13
9028,145
4358,13
7700,145
4111,13
2635,120
1004,13
10201,145
